@relation linear_regression_finalmarks-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute StudyHours {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-5]\'','\'(5-5.8]\'','\'(5.8-6.6]\'','\'(6.6-7.4]\'','\'(7.4-8.2]\'','\'(8.2-inf)\''}
@attribute Attendance {'\'(-inf-63.9]\'','\'(63.9-67.8]\'','\'(67.8-71.7]\'','\'(71.7-75.6]\'','\'(75.6-79.5]\'','\'(79.5-83.4]\'','\'(83.4-87.3]\'','\'(87.3-91.2]\'','\'(91.2-95.1]\'','\'(95.1-inf)\''}
@attribute InternalMarks {'\'(-inf-11.9]\'','\'(11.9-13.8]\'','\'(13.8-15.7]\'','\'(15.7-17.6]\'','\'(17.6-19.5]\'','\'(19.5-21.4]\'','\'(21.4-23.3]\'','\'(23.3-25.2]\'','\'(25.2-27.1]\'','\'(27.1-inf)\''}
@attribute Projects {'\'(-inf-1.3]\'','\'(1.3-1.6]\'','\'(1.6-1.9]\'','\'(1.9-2.2]\'','\'(2.2-2.5]\'','\'(2.5-2.8]\'','\'(2.8-3.1]\'','\'(3.1-3.4]\'','\'(3.4-3.7]\'','\'(3.7-inf)\''}
@attribute FinalMarks numeric

@data
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',65.58
'\'(2.6-3.4]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',86.41
'\'(8.2-inf)\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',67.05
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',72.63
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',90.94
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',82.77
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',91.28
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',84.69
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',85.26
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',80.69
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',83.76
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',100
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',69.4
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',71.37
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',73.71
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',61.69
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',51.42
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',63.56
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',87.42
'\'(1.8-2.6]\'','\'(75.6-79.5]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',63.31
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',70.72
'\'(4.2-5]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',96.43
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',78.23
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',70.93
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',60.7
'\'(8.2-inf)\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',87.25
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',59.28
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',72.59
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',67.2
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',79
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',82.86
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',67.58
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',81.89
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',75.37
'\'(3.4-4.2]\'','\'(87.3-91.2]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',83.87
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',83.58
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',88.43
'\'(-inf-1.8]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',76.08
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',76.43
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',58.33
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',87.28
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',74.34
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',88.72
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',70.54
'\'(1.8-2.6]\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',70.82
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',83.39
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',60.72
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',72.25
'\'(2.6-3.4]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',73
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',59.39
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',75.55
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',79.75
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',53.88
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',61.1
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',79.08
'\'(6.6-7.4]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',75.58
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',57.65
'\'(6.6-7.4]\'','\'(75.6-79.5]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',70.64
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',88.42
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',64.14
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',86.26
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',79.09
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',89.98
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',66.75
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',80.24
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',93.61
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',66.29
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',75
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',93.87
'\'(1.8-2.6]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',64.29
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',80.21
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',66.67
'\'(1.8-2.6]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',74.7
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',85.91
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',66.39
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',60.71
'\'(2.6-3.4]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',48.12
'\'(8.2-inf)\'','\'(67.8-71.7]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',79.33
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',66.82
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',64.38
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(1.9-2.2]\'',65.35
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',50.98
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',60.24
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(17.6-19.5]\'','\'(1.9-2.2]\'',73
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',47.67
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',61.82
'\'(-inf-1.8]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',63.91
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',72.86
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',84.42
'\'(4.2-5]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',91.77
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',79.41
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',71.89
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',72.06
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',83.53
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',64.99
'\'(6.6-7.4]\'','\'(79.5-83.4]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',62.91
'\'(8.2-inf)\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',81.18
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',85.01
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',50.27
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',68.85
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',82.99
'\'(4.2-5]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',67.35
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',79.17
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',84.67
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',77.39
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',68.48
'\'(3.4-4.2]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',77.15
'\'(3.4-4.2]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',61.71
'\'(5.8-6.6]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',84.64
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',81.53
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',89.84
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',71.86
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',84.53
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',88.09
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',64.51
'\'(1.8-2.6]\'','\'(95.1-inf)\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',60.27
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',88.18
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',64.88
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',75.18
'\'(5.8-6.6]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',60.58
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',74.33
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(2.8-3.1]\'',56.92
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',82.75
'\'(3.4-4.2]\'','\'(67.8-71.7]\'','\'(17.6-19.5]\'','\'(2.8-3.1]\'',66.55
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',74.31
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',94.55
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(15.7-17.6]\'','\'(-inf-1.3]\'',64.42
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',53.77
'\'(5.8-6.6]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',61.4
'\'(4.2-5]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',76.38
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',79.78
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',74.35
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',83.9
'\'(5.8-6.6]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',81.07
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',63.78
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(3.7-inf)\'',79.86
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',77.61
'\'(6.6-7.4]\'','\'(95.1-inf)\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',65.17
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',68.87
'\'(7.4-8.2]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',86.86
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',77.7
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',72.54
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',57.15
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',79.06
'\'(8.2-inf)\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',85
'\'(-inf-1.8]\'','\'(71.7-75.6]\'','\'(19.5-21.4]\'','\'(3.7-inf)\'',71.08
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',87.99
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',60.12
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',93.82
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',76.06
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',59.4
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(2.8-3.1]\'',53.37
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',75.19
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',64.56
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',74.3
'\'(7.4-8.2]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',85.56
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',92.55
'\'(1.8-2.6]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',83.32
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',78.61
'\'(2.6-3.4]\'','\'(83.4-87.3]\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',84.78
'\'(-inf-1.8]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',52.36
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(-inf-1.3]\'',64.24
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(3.7-inf)\'',76.26
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',59.34
'\'(8.2-inf)\'','\'(71.7-75.6]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',90.32
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',77.1
'\'(2.6-3.4]\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(3.7-inf)\'',89.09
'\'(4.2-5]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(1.9-2.2]\'',87.94
'\'(4.2-5]\'','\'(-inf-63.9]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',71.31
'\'(4.2-5]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',96.81
'\'(2.6-3.4]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(1.9-2.2]\'',70.64
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',52.83
'\'(8.2-inf)\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',84.84
'\'(8.2-inf)\'','\'(87.3-91.2]\'','\'(27.1-inf)\'','\'(2.8-3.1]\'',97.89
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(-inf-1.3]\'',76.93
'\'(7.4-8.2]\'','\'(63.9-67.8]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',79.51
'\'(7.4-8.2]\'','\'(87.3-91.2]\'','\'(15.7-17.6]\'','\'(3.7-inf)\'',76.78
'\'(6.6-7.4]\'','\'(67.8-71.7]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',55.02
'\'(7.4-8.2]\'','\'(95.1-inf)\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',79.51
'\'(2.6-3.4]\'','\'(71.7-75.6]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',63.15
'\'(5.8-6.6]\'','\'(87.3-91.2]\'','\'(-inf-11.9]\'','\'(2.8-3.1]\'',69.57
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(27.1-inf)\'','\'(1.9-2.2]\'',79.85
'\'(6.6-7.4]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(-inf-1.3]\'',85.4
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(21.4-23.3]\'','\'(1.9-2.2]\'',65.81
'\'(8.2-inf)\'','\'(-inf-63.9]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',66.43
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',57.63
'\'(-inf-1.8]\'','\'(-inf-63.9]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',64.32
'\'(6.6-7.4]\'','\'(71.7-75.6]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',83.27
'\'(1.8-2.6]\'','\'(79.5-83.4]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',71.83
'\'(4.2-5]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',64
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',69.7
'\'(7.4-8.2]\'','\'(83.4-87.3]\'','\'(27.1-inf)\'','\'(-inf-1.3]\'',94.91
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',57.12
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',60.36
'\'(2.6-3.4]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',66.24
'\'(5.8-6.6]\'','\'(71.7-75.6]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',75.11
'\'(5.8-6.6]\'','\'(67.8-71.7]\'','\'(23.3-25.2]\'','\'(2.8-3.1]\'',83.93
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(15.7-17.6]\'','\'(1.9-2.2]\'',51.63
'\'(6.6-7.4]\'','\'(63.9-67.8]\'','\'(-inf-11.9]\'','\'(-inf-1.3]\'',64.3
'\'(2.6-3.4]\'','\'(79.5-83.4]\'','\'(25.2-27.1]\'','\'(-inf-1.3]\'',73.89
'\'(7.4-8.2]\'','\'(71.7-75.6]\'','\'(17.6-19.5]\'','\'(3.7-inf)\'',91.83
'\'(3.4-4.2]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',78.08
'\'(-inf-1.8]\'','\'(83.4-87.3]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',52.38
'\'(3.4-4.2]\'','\'(95.1-inf)\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',68.98
'\'(6.6-7.4]\'','\'(-inf-63.9]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',65.6
'\'(3.4-4.2]\'','\'(79.5-83.4]\'','\'(21.4-23.3]\'','\'(2.8-3.1]\'',83.93
'\'(5.8-6.6]\'','\'(75.6-79.5]\'','\'(23.3-25.2]\'','\'(3.7-inf)\'',97.53
'\'(8.2-inf)\'','\'(91.2-95.1]\'','\'(13.8-15.7]\'','\'(3.7-inf)\'',82.55
'\'(-inf-1.8]\'','\'(95.1-inf)\'','\'(25.2-27.1]\'','\'(3.7-inf)\'',85.12
'\'(4.2-5]\'','\'(67.8-71.7]\'','\'(13.8-15.7]\'','\'(1.9-2.2]\'',61.29
'\'(6.6-7.4]\'','\'(83.4-87.3]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',78.41
'\'(-inf-1.8]\'','\'(75.6-79.5]\'','\'(25.2-27.1]\'','\'(2.8-3.1]\'',76.14
'\'(3.4-4.2]\'','\'(75.6-79.5]\'','\'(11.9-13.8]\'','\'(3.7-inf)\'',66.99
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(2.8-3.1]\'',66.78
'\'(1.8-2.6]\'','\'(67.8-71.7]\'','\'(21.4-23.3]\'','\'(-inf-1.3]\'',56.85
'\'(4.2-5]\'','\'(91.2-95.1]\'','\'(17.6-19.5]\'','\'(-inf-1.3]\'',72.9
'\'(-inf-1.8]\'','\'(63.9-67.8]\'','\'(13.8-15.7]\'','\'(-inf-1.3]\'',46.87
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(19.5-21.4]\'','\'(2.8-3.1]\'',68
'\'(5.8-6.6]\'','\'(91.2-95.1]\'','\'(-inf-11.9]\'','\'(1.9-2.2]\'',69.16
'\'(3.4-4.2]\'','\'(91.2-95.1]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',58.06
'\'(7.4-8.2]\'','\'(79.5-83.4]\'','\'(11.9-13.8]\'','\'(1.9-2.2]\'',71.31
